"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\view_message.html", "HTML", 0, 129, 0, 0, 0, 13, 142
"c:\Users\ashis\Desktop\pseudospeak\main\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\ashis\Desktop\pseudospeak\main\urls.py", "Python", 16, 0, 0, 0, 0, 2, 18
"c:\Users\ashis\Desktop\pseudospeak\main\views.py", "Python", 202, 0, 0, 0, 3, 33, 238
"c:\Users\ashis\Desktop\pseudospeak\manage.py", "Python", 17, 0, 0, 0, 1, 5, 23
"c:\Users\ashis\Desktop\pseudospeak\pseudoverse\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\pseudoverse\asgi.py", "Python", 18, 0, 0, 0, 1, 4, 23
"c:\Users\ashis\Desktop\pseudospeak\pseudoverse\settings.py", "Python", 91, 0, 0, 0, 18, 42, 151
"c:\Users\ashis\Desktop\pseudospeak\pseudoverse\urls.py", "Python", 26, 0, 0, 0, 0, 6, 32
"c:\Users\ashis\Desktop\pseudospeak\pseudoverse\wsgi.py", "Python", 10, 0, 0, 0, 0, 7, 17
"c:\Users\ashis\Desktop\pseudospeak\room\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\room\admin.py", "Python", 5, 0, 0, 0, 1, 0, 6
"c:\Users\ashis\Desktop\pseudospeak\room\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\ashis\Desktop\pseudospeak\room\consumers.py", "Python", 108, 0, 0, 0, 4, 25, 137
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0001_initial.py", "Python", 22, 0, 0, 0, 1, 7, 30
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0002_message.py", "Python", 45, 0, 0, 0, 1, 6, 52
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0003_hashtag_message_image_message_likes_and_more.py", "Python", 74, 0, 0, 0, 1, 6, 81
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0004_room_user.py", "Python", 20, 0, 0, 0, 1, 6, 27
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0005_remove_room_user_room_user.py", "Python", 20, 0, 0, 0, 1, 6, 27
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0006_rename_user_room_users.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0007_alter_room_users.py", "Python", 16, 0, 0, 0, 1, 6, 23
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0008_room_room_img.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0009_category.py", "Python", 22, 0, 0, 0, 1, 6, 29
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\0010_room_category.py", "Python", 17, 0, 0, 0, 1, 6, 24
"c:\Users\ashis\Desktop\pseudospeak\room\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\room\models.py", "Python", 49, 0, 0, 0, 2, 17, 68
"c:\Users\ashis\Desktop\pseudospeak\room\routing.py", "Python", 6, 0, 0, 0, 0, 1, 7
"c:\Users\ashis\Desktop\pseudospeak\room\templates\room\room.html", "HTML", 0, 409, 0, 0, 1, 47, 457
"c:\Users\ashis\Desktop\pseudospeak\room\templates\room\rooms.html", "HTML", 0, 569, 0, 0, 1, 46, 616
"c:\Users\ashis\Desktop\pseudospeak\room\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\ashis\Desktop\pseudospeak\room\urls.py", "Python", 6, 0, 0, 0, 0, 1, 7
"c:\Users\ashis\Desktop\pseudospeak\room\views.py", "Python", 35, 0, 0, 0, 1, 5, 41
"Total", "-", 2155, 3575, 584, 17, 192, 1127, 7650
